Tên feature,Định nghĩa/Ý nghĩa,Công thức tính,Source,Grain,Ý nghĩa trong mô hình
exp_category_share_<category>,Prior lịch sử về mix doanh thu theo category theo tháng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: SUM(revenue_category) / SUM(revenue_all) theo month_of_year,orders.csv[order_date] + order_items.csv + products.csv[category],"Bảng tra 1 dòng = 1 month_of_year x 1 category, map theo month",Giúp model học seasonality do thay đổi cơ cấu ngành hàng
active_promo_count,Số promo đang active trong ngày,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: count(promo_id where start_date <= Date <= end_date),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
is_any_promo_active,Ngày có promo hay không,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: 1(active_promo_count > 0),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_discount_avg,Discount trung bình của các promo đang chạy,"Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: mean(discount_value) của active promos, không có promo thì 0",promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_discount_max,Discount cao nhất trong ngày,"Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: max(discount_value) của active promos, không có promo thì 0",promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_discount_sum,Tổng áp lực discount trong ngày,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: sum(discount_value) của active promos,promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_percentage_promo_count,Số promo dạng phần trăm đang chạy,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: count(active promo where promo_type = 'percentage'),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_fixed_promo_count,Số promo fixed discount đang chạy,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: count(active promo where promo_type = 'fixed'),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
has_fixed_discount_promo,Flag ngày có fixed discount,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: 1(active_fixed_promo_count > 0),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_stackable_promo_count,Số promo có thể stack,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: count(active promo where stackable_flag = 1),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
has_stackable_promo,Ngày có ít nhất một promo stackable,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: 1(active_stackable_promo_count > 0),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_min_order_promo_count,Số promo có điều kiện giá trị đơn tối thiểu,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: count(active promo where min_order_value > 0),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_min_order_avg,Threshold trung bình của promo active,"Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: mean(min_order_value where min_order_value > 0), không có thì 0",promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_sitewide_promo_count,Số promo áp dụng toàn site,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: count(active promo where applicable_category is null or blank),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_category_promo_count,Số promo áp dụng cho category cụ thể,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: count(active promo where applicable_category not null),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
has_streetwear_promo,Ngày có promo áp dụng cho Streetwear,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: 1(any active promo where applicable_category = 'Streetwear'),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
has_outdoor_promo,Ngày có promo áp dụng cho Outdoor,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: 1(any active promo where applicable_category = 'Outdoor'),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_email_promo_count,Số promo kênh email active,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: count(active promo where promo_channel = 'email'),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_online_promo_count,Số promo kênh online active,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: count(active promo where promo_channel = 'online'),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_all_channels_promo_count,Số promo all_channels active,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: count(active promo where promo_channel = 'all_channels'),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_social_promo_count,Số promo social_media active,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: count(active promo where promo_channel = 'social_media'),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_in_store_promo_count,Số promo in_store active,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: count(active promo where promo_channel = 'in_store'),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
is_spring_sale_active,Flag family Spring Sale,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: 1(any active promo where promo_name contains 'Spring Sale'),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
is_mid_year_sale_active,Flag family Mid-Year Sale,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: 1(any active promo where promo_name contains 'Mid-Year Sale'),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
is_fall_launch_active,Flag family Fall Launch,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: 1(any active promo where promo_name contains 'Fall Launch'),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
is_year_end_sale_active,Flag family Year-End Sale,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: 1(any active promo where promo_name contains 'Year-End Sale'),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
is_urban_blowout_active,Flag family Urban Blowout,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: 1(any active promo where promo_name contains 'Urban Blowout'),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
is_rural_special_active,Flag family Rural Special,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: 1(any active promo where promo_name contains 'Rural Special'),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
promo_day_index,Ngày thứ mấy kể từ khi promo bắt đầu,"Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: Với mỗi active promo: Date - start_date + 1; nếu nhiều promo lấy min, mean, hoặc max",promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
promo_days_remaining,Số ngày còn lại trước khi promo kết thúc,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: Với mỗi active promo: end_date - Date; nếu nhiều promo lấy min,promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
promo_progress_ratio,Tiến độ campaign trong ngày,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: (Date - start_date + 1) / (end_date - start_date + 1); nếu nhiều promo lấy mean,promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
days_to_next_promo_start,Khoảng cách tới promo tiếp theo,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: min(start_date - Date where start_date > Date); có thể cap tại 60,promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
days_since_last_promo_end,Khoảng cách từ promo gần nhất đã kết thúc,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: min(Date - end_date where end_date < Date); có thể cap tại 60,promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
daily_promo_line_share_lag_365,Promo line share cùng ngày năm trước,"Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: Từ order_items + orders: promo_lines / total_lines theo order_date, sau đó lag 365 ngày","order_items.csv, orders.csv",Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
daily_discount_rate_lag_365,Discount rate cùng ngày năm trước,"Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: Theo ngày: sum(discount_amount) / sum(quantity * unit_price), sau đó lag 365 ngày","order_items.csv, orders.csv",Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
expected_promo_line_share_month,"Promo intensity kỳ vọng theo tháng, dùng được cho future","Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: Trong train: mean(promo_lines / total_lines) theo month(order_date), map sang future theo month","order_items.csv, orders.csv",Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
expected_discount_rate_month,Discount rate kỳ vọng theo tháng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: Trong train: mean(sum(discount_amount) / sum(quantity * unit_price)) theo month,"order_items.csv, orders.csv",Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
expected_promo_revenue_share_month,Tỷ trọng revenue promo kỳ vọng theo tháng,"Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: sum(revenue where promo_id not null) / sum(total revenue) theo month, rồi map theo month","order_items.csv, orders.csv",Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
expected_active_promo_count_month,Số promo active kỳ vọng theo tháng,"Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: Từ daily promo calendar train, lấy mean(active_promo_count) theo month",promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
expected_email_promo_month,Xác suất có email promo theo tháng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: mean(1(active email promo > 0)) theo month trong train,promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
expected_online_promo_month,Xác suất có online promo theo tháng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: mean(1(active online promo > 0)) theo month trong train,promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
expected_sitewide_promo_month,Xác suất có sitewide promo theo tháng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: mean(1(active sitewide promo > 0)) theo month trong train,promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
expected_category_promo_month,Xác suất có category-specific promo theo tháng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: mean(1(active category promo > 0)) theo month trong train,promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
revenue_lag_7,Revenue tuần trước,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: sales.Revenue.shift(7),sales.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
revenue_lag_28,Revenue 4 tuần trước,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: sales.Revenue.shift(28),sales.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
revenue_lag_365,Revenue cùng ngày năm trước,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: sales.Revenue.shift(365),sales.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
cogs_lag_7,COGS tuần trước,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: sales.COGS.shift(7),sales.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
cogs_lag_365,COGS cùng ngày năm trước,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: sales.COGS.shift(365),sales.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
revenue_roll_mean_28,Revenue trung bình 28 ngày gần nhất,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: sales.Revenue.shift(1).rolling(28).mean(),sales.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
cogs_roll_mean_28,COGS trung bình 28 ngày gần nhất,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: sales.COGS.shift(1).rolling(28).mean(),sales.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
gross_margin_lag_365,Gross margin cùng ngày năm trước,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: ((Revenue - COGS) / Revenue).shift(365),sales.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
cm_active_customers_28d_gap549,Quy mô active base ngắn hạn đã lùi 549 ngày,Số khách hàng unique có đơn trong cửa sổ 28 ngày kết thúc tại as_of_date = Date - 549 ngày,customers.csv + orders.csv,Date,Đo độ rộng customer base gần nhất mà forecast được phép nhìn thấy
cm_active_customers_91d_gap549,Quy mô active base trung hạn đã lùi 549 ngày,Số khách hàng unique có đơn trong cửa sổ 91 ngày kết thúc tại as_of_date = Date - 549 ngày,customers.csv + orders.csv,Date,Proxy cho sức khỏe nền khách mua hàng
cm_orders_per_active_customer_91d_gap549,Tần suất mua trên mỗi active customer,SUM(orders_91d_asof) / active_customers_91d_asof,orders.csv + customers.csv,Date,Bắt tín hiệu khách còn mua nhiều hay chỉ còn mua thưa
cm_revenue_per_active_customer_91d_gap549,Doanh thu trên mỗi active customer,SUM(revenue_91d_asof) / active_customers_91d_asof,orders.csv + order_items.csv + customers.csv,Date,Tách tác động giá trị khách khỏi quy mô active base
cm_new_customer_order_share_91d_gap549,Tỷ trọng đơn từ khách mới,SUM(new_customer_orders_91d_asof) / SUM(all_orders_91d_asof),orders.csv + customers.csv,Date,Đo sức kéo acquisition ở tầng order
cm_repeat_customer_order_share_91d_gap549,Tỷ trọng đơn từ khách quay lại,SUM(repeat_orders_91d_asof) / SUM(all_orders_91d_asof),orders.csv + customers.csv,Date,Đo sức khỏe retention/repeat behavior
cm_loyal_customer_order_share_91d_gap549,Tỷ trọng đơn từ khách đã mua ít nhất 3 lần,SUM(customer_order_no >= 3 trong 91d_asof) / SUM(all_orders_91d_asof),orders.csv + customers.csv,Date,Theo dõi loyal base có co lại hay không
cm_repeat_within_365d_order_share_91d_gap549,Tỷ trọng đơn repeat có gap <=365 ngày,SUM(repeat orders có previous_order_gap <=365 trong 91d_asof) / SUM(all_orders_91d_asof),orders.csv + customers.csv,Date,Đo repeat còn nằm trong chu kỳ mua hợp lý
cm_median_inter_order_gap_91d_gap549,Khoảng cách giữa hai đơn của khách repeat,"Rolling mean 91 ngày của median(previous_order_gap), sau shift 549 ngày",orders.csv + customers.csv,Date,Gap tăng là tín hiệu lifecycle chậm lại
cm_median_customer_tenure_days_91d_gap549,Tuổi đời khách hàng tại thời điểm mua,"Rolling mean 91 ngày của median(order_date - first_order_date), sau shift 549 ngày",orders.csv + customers.csv,Date,Phân biệt base đang phụ thuộc khách cũ hay khách mới
cm_age_18_34_order_share_91d_gap549,Tỷ trọng đơn từ nhóm tuổi 18-34,"SUM(orders age_group in 18-24,25-34 trong 91d_asof) / SUM(all_orders_91d_asof)",customers.csv + orders.csv,Date,Bắt thay đổi chân dung khách trẻ
cm_age_35_54_order_share_91d_gap549,Tỷ trọng đơn từ nhóm tuổi 35-54,"SUM(orders age_group in 35-44,45-54 trong 91d_asof) / SUM(all_orders_91d_asof)",customers.csv + orders.csv,Date,Bắt thay đổi chân dung khách trung niên
cm_age_55_plus_order_share_91d_gap549,Tỷ trọng đơn từ nhóm tuổi 55+,SUM(orders age_group = 55+ trong 91d_asof) / SUM(all_orders_91d_asof),customers.csv + orders.csv,Date,Đo dịch chuyển sang nhóm tuổi lớn
cm_female_order_share_91d_gap549,Tỷ trọng đơn từ khách nữ,SUM(orders gender = Female trong 91d_asof) / SUM(all_orders_91d_asof),customers.csv + orders.csv,Date,Bắt mix giới tính ở tầng đơn hàng
cm_mobile_order_share_91d_gap549,Tỷ trọng đơn đặt từ mobile,SUM(orders device_type = mobile trong 91d_asof) / SUM(all_orders_91d_asof),orders.csv,Date,Đo thay đổi hành vi mua qua thiết bị
cm_paid_search_acq_order_share_91d_gap549,Tỷ trọng đơn từ khách có kênh acquisition paid search,SUM(orders của paid_search customers trong 91d_asof) / SUM(all_orders_91d_asof),customers.csv + orders.csv,Date,Bắt phụ thuộc vào acquisition trả phí
cm_organic_search_acq_order_share_91d_gap549,Tỷ trọng đơn từ khách có kênh acquisition organic search,SUM(orders của organic_search customers trong 91d_asof) / SUM(all_orders_91d_asof),customers.csv + orders.csv,Date,Bắt sức kéo organic demand
cm_east_region_order_share_91d_gap549,Tỷ trọng đơn từ region East,SUM(orders region = East trong 91d_asof) / SUM(all_orders_91d_asof),geography.csv + orders.csv,Date,Bắt dịch chuyển thị trường địa lý chính
cm_region_entropy_91d_gap549,Độ phân tán đơn hàng theo region,-SUM(region_share * log(region_share)) trong 91d_asof,geography.csv + orders.csv,Date,Entropy thấp hơn cho thấy thị trường cô đặc hơn
cm_acquisition_entropy_91d_gap549,Độ phân tán đơn hàng theo acquisition channel của khách,-SUM(channel_share * log(channel_share)) trong 91d_asof,customers.csv + orders.csv,Date,Entropy thấp hơn cho thấy acquisition mix phụ thuộc vào ít kênh hơn
revenue_decomp_trend_m7_gap549,Trend ngắn hạn weekly của Revenue đã lùi 549 ngày,"Với target Date, lấy lịch sử Revenue đến as_of_date = Date - 549 ngày; gọi pmdarima.arima.decompose(type='additive', m=7) trên trailing window 365 ngày; lấy trend khả dụng mới nhất","sales.csv[Revenue, Date] + pmdarima.arima.decompose",Date,Bắt xu hướng weekly causal của doanh thu mà không nhìn qua tương lai forecast
revenue_decomp_seasonal_m7_gap549,Seasonality weekly của Revenue đã lùi 549 ngày,"Với target Date, lấy lịch sử Revenue đến as_of_date = Date - 549 ngày; gọi pmdarima.arima.decompose(type='additive', m=7) trên trailing window 365 ngày; lấy seasonal mới nhất","sales.csv[Revenue, Date] + pmdarima.arima.decompose",Date,Bắt chu kỳ tuần còn quan sát được tại thời điểm forecast hợp lệ
revenue_decomp_random_m7_gap549,Residual weekly của Revenue đã lùi 549 ngày,"Với target Date, lấy lịch sử Revenue đến as_of_date = Date - 549 ngày; gọi pmdarima.arima.decompose(type='additive', m=7) trên trailing window 365 ngày; lấy random/residual khả dụng mới nhất","sales.csv[Revenue, Date] + pmdarima.arima.decompose",Date,Đo nhiễu doanh thu sau khi tách trend và weekly seasonality
revenue_decomp_trend_m365_gap549,Trend dài hạn yearly của Revenue đã lùi 549 ngày,"Với target Date, lấy lịch sử Revenue đến as_of_date = Date - 549 ngày; gọi pmdarima.arima.decompose(type='additive', m=365) trên trailing window 1095 ngày; lấy trend khả dụng mới nhất","sales.csv[Revenue, Date] + pmdarima.arima.decompose",Date,Bắt xu hướng dài hạn của doanh thu trước forecast horizon
revenue_decomp_seasonal_m365_gap549,Seasonality yearly của Revenue đã lùi 549 ngày,"Với target Date, lấy lịch sử Revenue đến as_of_date = Date - 549 ngày; gọi pmdarima.arima.decompose(type='additive', m=365) trên trailing window 1095 ngày; lấy seasonal mới nhất","sales.csv[Revenue, Date] + pmdarima.arima.decompose",Date,Bắt mùa vụ năm của doanh thu từ lịch sử hợp lệ
revenue_decomp_random_m365_gap549,Residual yearly của Revenue đã lùi 549 ngày,"Với target Date, lấy lịch sử Revenue đến as_of_date = Date - 549 ngày; gọi pmdarima.arima.decompose(type='additive', m=365) trên trailing window 1095 ngày; lấy random/residual khả dụng mới nhất","sales.csv[Revenue, Date] + pmdarima.arima.decompose",Date,Đo phần biến động doanh thu không giải thích bởi trend và yearly seasonality
cogs_decomp_trend_m7_gap549,Trend ngắn hạn weekly của COGS đã lùi 549 ngày,"Tương tự Revenue nhưng áp dụng trên COGS với pmdarima.arima.decompose(type='additive', m=7)","sales.csv[COGS, Date] + pmdarima.arima.decompose",Date,Bắt xu hướng weekly causal của COGS
cogs_decomp_seasonal_m7_gap549,Seasonality weekly của COGS đã lùi 549 ngày,"Tương tự Revenue nhưng áp dụng trên COGS với pmdarima.arima.decompose(type='additive', m=7)","sales.csv[COGS, Date] + pmdarima.arima.decompose",Date,Bắt chu kỳ tuần của COGS
cogs_decomp_random_m7_gap549,Residual weekly của COGS đã lùi 549 ngày,"Tương tự Revenue nhưng áp dụng trên COGS với pmdarima.arima.decompose(type='additive', m=7)","sales.csv[COGS, Date] + pmdarima.arima.decompose",Date,Đo nhiễu COGS sau khi tách trend và weekly seasonality
cogs_decomp_trend_m365_gap549,Trend dài hạn yearly của COGS đã lùi 549 ngày,"Tương tự Revenue nhưng áp dụng trên COGS với pmdarima.arima.decompose(type='additive', m=365)","sales.csv[COGS, Date] + pmdarima.arima.decompose",Date,Bắt xu hướng dài hạn của COGS trước forecast horizon
cogs_decomp_seasonal_m365_gap549,Seasonality yearly của COGS đã lùi 549 ngày,"Tương tự Revenue nhưng áp dụng trên COGS với pmdarima.arima.decompose(type='additive', m=365)","sales.csv[COGS, Date] + pmdarima.arima.decompose",Date,Bắt mùa vụ năm của COGS từ lịch sử hợp lệ
cogs_decomp_random_m365_gap549,Residual yearly của COGS đã lùi 549 ngày,"Tương tự Revenue nhưng áp dụng trên COGS với pmdarima.arima.decompose(type='additive', m=365)","sales.csv[COGS, Date] + pmdarima.arima.decompose",Date,Đo phần biến động COGS không giải thích bởi trend và yearly seasonality
